epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,375.41,1.44512,1.21974,1.06645,0.63791,0.38799,0.42289,0.23977,1.32714,0.84379,0.97936,0.040837,0.00047529,0.00047529
2,738.944,1.3557,0.91584,1.00853,0.63931,0.41034,0.44512,0.24786,1.32417,0.81822,0.97394,0.0211236,0.000937385,0.000937385
3,1101.51,1.3585,0.90283,1.00735,0.64007,0.40627,0.44049,0.24005,1.33594,0.83496,0.9804,0.0013968,0.00138603,0.00138603
4,1456.85,1.37325,0.91192,1.0134,0.64036,0.4146,0.44157,0.24279,1.33078,0.82316,0.98013,0.0013661,0.0013661,0.0013661
5,1812.54,1.36286,0.89096,1.00812,0.67264,0.42736,0.46606,0.25554,1.31614,0.80468,0.97608,0.00134592,0.00134592,0.00134592
6,2167.67,1.35331,0.87594,1.00435,0.66692,0.44274,0.47827,0.26555,1.30773,0.7859,0.97173,0.00132575,0.00132575,0.00132575
7,2525.56,1.34308,0.86156,1.00026,0.67809,0.44384,0.48646,0.27041,1.30156,0.77873,0.96996,0.00130557,0.00130557,0.00130557
8,2882.16,1.33777,0.85231,0.99771,0.68437,0.44463,0.48621,0.27091,1.29575,0.76758,0.96629,0.00128539,0.00128539,0.00128539
9,3238.14,1.32929,0.84463,0.99591,0.67707,0.45464,0.49093,0.27457,1.29096,0.76175,0.96562,0.00126522,0.00126522,0.00126522
10,3592.37,1.32651,0.83802,0.99353,0.69904,0.46289,0.50279,0.28245,1.28569,0.7514,0.96337,0.00124504,0.00124504,0.00124504
11,3946.86,1.32187,0.83193,0.99168,0.60744,0.44922,0.50465,0.2838,1.28157,0.74439,0.96305,0.00122486,0.00122486,0.00122486
12,4304.61,1.31564,0.82331,0.98971,0.60015,0.46056,0.50703,0.28654,1.27748,0.73915,0.96078,0.00120469,0.00120469,0.00120469
13,4659.02,1.31491,0.82264,0.98761,0.59396,0.46766,0.51215,0.28833,1.27478,0.73428,0.95823,0.00118451,0.00118451,0.00118451
14,5012.36,1.31137,0.81648,0.98657,0.70759,0.46706,0.51548,0.291,1.27088,0.7282,0.95842,0.00116433,0.00116433,0.00116433
15,5367.62,1.30437,0.80938,0.9844,0.70121,0.47667,0.52125,0.29496,1.26881,0.72496,0.95655,0.00114416,0.00114416,0.00114416
16,5722.86,1.3028,0.80598,0.98334,0.70558,0.47672,0.52361,0.29669,1.26694,0.71935,0.95578,0.00112398,0.00112398,0.00112398
17,6077.47,1.30118,0.80248,0.98265,0.65111,0.50426,0.52967,0.30314,1.26303,0.71553,0.95422,0.0011038,0.0011038,0.0011038
18,6432.49,1.29823,0.7978,0.98066,0.60743,0.48392,0.52977,0.30126,1.26059,0.7137,0.95256,0.00108363,0.00108363,0.00108363
19,6790.97,1.29747,0.79541,0.98013,0.7047,0.48292,0.52868,0.30107,1.26013,0.70977,0.95188,0.00106345,0.00106345,0.00106345
20,7145.29,1.29483,0.79272,0.97984,0.71289,0.48401,0.53279,0.30472,1.25813,0.70762,0.952,0.00104327,0.00104327,0.00104327
21,7499.74,1.29013,0.79003,0.97803,0.5871,0.50127,0.53455,0.30588,1.25687,0.70493,0.9516,0.0010231,0.0010231,0.0010231
22,7853.88,1.28811,0.78602,0.9782,0.6129,0.48958,0.53601,0.30617,1.25543,0.70243,0.95154,0.00100292,0.00100292,0.00100292
23,8211.28,1.28584,0.78273,0.97576,0.61803,0.4821,0.53604,0.30684,1.25454,0.70104,0.95036,0.000982744,0.000982744,0.000982744
24,8567.79,1.28426,0.77925,0.97589,0.61686,0.49053,0.53754,0.3077,1.25251,0.6993,0.95026,0.000962568,0.000962568,0.000962568
25,8925.44,1.28307,0.77621,0.97491,0.63787,0.49594,0.54201,0.31099,1.25146,0.69726,0.95044,0.000942391,0.000942391,0.000942391
26,9280.09,1.27854,0.77348,0.97385,0.6471,0.49282,0.54273,0.31259,1.25058,0.69598,0.94993,0.000922214,0.000922214,0.000922214
27,9637.42,1.27602,0.76993,0.97265,0.64927,0.49113,0.54597,0.31368,1.25038,0.69492,0.94973,0.000902038,0.000902038,0.000902038
28,9993.11,1.27531,0.76812,0.97203,0.64054,0.49986,0.54501,0.31322,1.24971,0.6937,0.94911,0.000881861,0.000881861,0.000881861
29,10349.3,1.27026,0.76519,0.9706,0.63962,0.49637,0.54594,0.31336,1.24939,0.6931,0.94889,0.000861685,0.000861685,0.000861685
30,10703.9,1.27242,0.76242,0.9706,0.6337,0.49873,0.54686,0.31357,1.24903,0.69206,0.94822,0.000841508,0.000841508,0.000841508
31,11059.9,1.27089,0.76117,0.97047,0.63248,0.50143,0.54856,0.31389,1.24843,0.69116,0.94831,0.000821331,0.000821331,0.000821331
32,11415.4,1.26656,0.75652,0.9689,0.63481,0.50176,0.54907,0.3141,1.24807,0.69059,0.94816,0.000801155,0.000801155,0.000801155
33,11770.4,1.26498,0.75582,0.96806,0.63983,0.50081,0.5499,0.31463,1.24781,0.68998,0.9479,0.000780978,0.000780978,0.000780978
34,12126.7,1.26332,0.75115,0.96768,0.63831,0.50152,0.54995,0.31486,1.24762,0.68938,0.94789,0.000760801,0.000760801,0.000760801
35,12482.3,1.25979,0.74869,0.9673,0.63441,0.5032,0.55057,0.31541,1.24745,0.68877,0.94781,0.000740625,0.000740625,0.000740625
36,12837.7,1.26085,0.7479,0.96568,0.6369,0.50213,0.54986,0.31499,1.24721,0.68833,0.94761,0.000720448,0.000720448,0.000720448
37,13193.3,1.26014,0.74536,0.96544,0.63658,0.5024,0.55036,0.315,1.24691,0.68791,0.94742,0.000700272,0.000700272,0.000700272
38,13549.1,1.25797,0.74458,0.96412,0.63977,0.50169,0.55008,0.31479,1.24671,0.68757,0.94729,0.000680095,0.000680095,0.000680095
39,13905.7,1.25532,0.742,0.96478,0.63896,0.50255,0.54997,0.3148,1.2464,0.68716,0.9472,0.000659918,0.000659918,0.000659918
40,14260.9,1.25282,0.73957,0.9632,0.6402,0.50216,0.55022,0.31486,1.24621,0.68678,0.94706,0.000639742,0.000639742,0.000639742
41,14617.4,1.25134,0.73569,0.96296,0.63992,0.50235,0.55042,0.3152,1.246,0.68631,0.94698,0.000619565,0.000619565,0.000619565
42,14971.7,1.25074,0.73413,0.96177,0.64001,0.50102,0.55065,0.31584,1.24592,0.68598,0.94692,0.000599388,0.000599388,0.000599388
43,15328,1.24998,0.73389,0.96164,0.64148,0.50007,0.55006,0.31583,1.24561,0.6857,0.94674,0.000579212,0.000579212,0.000579212
44,15683.9,1.24763,0.72968,0.96095,0.64208,0.49921,0.55076,0.3165,1.24544,0.68537,0.94667,0.000559035,0.000559035,0.000559035
45,16042.6,1.24508,0.72658,0.95932,0.63853,0.50134,0.55001,0.3156,1.24539,0.68512,0.94657,0.000538859,0.000538859,0.000538859
46,16399.1,1.24469,0.72498,0.95939,0.64168,0.49879,0.54989,0.31572,1.24535,0.6849,0.94657,0.000518682,0.000518682,0.000518682
47,16756.8,1.24134,0.72227,0.95806,0.63498,0.50441,0.55017,0.31599,1.2453,0.68457,0.94651,0.000498505,0.000498505,0.000498505
48,17112.2,1.23835,0.71915,0.95731,0.63729,0.50385,0.55057,0.31601,1.24523,0.68433,0.94648,0.000478329,0.000478329,0.000478329
49,17467.1,1.24232,0.72006,0.9584,0.63833,0.50298,0.55059,0.31648,1.24513,0.68422,0.94641,0.000458152,0.000458152,0.000458152
50,17823.3,1.23545,0.71526,0.95669,0.63734,0.5038,0.55077,0.31658,1.24512,0.684,0.94638,0.000437975,0.000437975,0.000437975
51,18181.3,1.23794,0.71363,0.95628,0.64073,0.50229,0.55141,0.31711,1.24498,0.68376,0.94634,0.000417799,0.000417799,0.000417799
52,18538.7,1.23271,0.7107,0.95579,0.64248,0.50318,0.55189,0.31728,1.24495,0.68355,0.94629,0.000397622,0.000397622,0.000397622
53,18894.9,1.23007,0.70792,0.95376,0.63905,0.50493,0.55295,0.31836,1.24498,0.68324,0.94624,0.000377446,0.000377446,0.000377446
54,19251.5,1.22846,0.70507,0.95394,0.64031,0.50501,0.55324,0.3183,1.24495,0.68299,0.94621,0.000357269,0.000357269,0.000357269
55,19608.8,1.22696,0.70341,0.95294,0.64259,0.50473,0.55351,0.3182,1.24503,0.68291,0.94619,0.000337092,0.000337092,0.000337092
56,19968.6,1.22643,0.69945,0.95222,0.64266,0.50471,0.55382,0.31837,1.24508,0.68277,0.94617,0.000316916,0.000316916,0.000316916
57,20326,1.22354,0.69881,0.95259,0.64455,0.50376,0.55364,0.31842,1.24512,0.68266,0.94614,0.000296739,0.000296739,0.000296739
58,20685.1,1.21965,0.69325,0.94929,0.6462,0.50294,0.5537,0.31849,1.24526,0.68246,0.9461,0.000276562,0.000276562,0.000276562
59,21042.1,1.22286,0.6943,0.95056,0.64818,0.50166,0.55347,0.31843,1.24529,0.68239,0.94603,0.000256386,0.000256386,0.000256386
60,21399,1.21961,0.69134,0.95017,0.65016,0.50137,0.55349,0.31859,1.24532,0.68231,0.94596,0.000236209,0.000236209,0.000236209
61,21747.6,1.23195,0.6679,0.9452,0.64649,0.503,0.55358,0.31841,1.2454,0.68223,0.94595,0.000216033,0.000216033,0.000216033
62,22095.4,1.22819,0.66239,0.94312,0.64591,0.50174,0.55276,0.31778,1.24548,0.68214,0.94592,0.000195856,0.000195856,0.000195856
63,22434.4,1.22579,0.65805,0.94252,0.64624,0.50075,0.55319,0.31813,1.24563,0.68212,0.9459,0.000175679,0.000175679,0.000175679
64,22779.2,1.22218,0.65525,0.94177,0.64373,0.50135,0.55319,0.31813,1.24579,0.6821,0.94589,0.000155503,0.000155503,0.000155503
65,23120.4,1.2199,0.6518,0.94041,0.64323,0.50062,0.55316,0.31821,1.24597,0.68206,0.94585,0.000135326,0.000135326,0.000135326
