epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.5009,1.31419,0.77381,0.99719,0.75775,0.47999,0.54928,0.30234,1.30987,0.7607,0.98204,0.0428575,0.000104059,0.000104059
2,17.3885,1.31038,0.76666,0.9908,0.63055,0.48842,0.54188,0.29649,1.31424,0.76683,0.98574,0.0218597,0.000190194,0.000190194
3,24.9472,1.29825,0.75343,0.98929,0.63118,0.48689,0.54154,0.29754,1.31412,0.76749,0.98428,0.000840799,0.000255135,0.000255135
4,31.9075,1.30167,0.75941,0.99008,0.62762,0.48798,0.54204,0.29721,1.31295,0.76837,0.98306,0.000225731,0.000225731,0.000225731
5,38.6989,1.30058,0.75022,0.9879,0.62539,0.48301,0.53934,0.29736,1.31087,0.76858,0.98219,0.000193943,0.000193943,0.000193943
6,45.5122,1.29228,0.74104,0.98606,0.6297,0.48979,0.54194,0.29875,1.30873,0.76737,0.98132,0.000162154,0.000162154,0.000162154
7,55.0358,1.28239,0.74624,0.97838,0.64415,0.48395,0.54209,0.29937,1.30761,0.76601,0.9808,0.000130365,0.000130365,0.000130365
8,62.1731,1.2882,0.74208,0.98569,0.6429,0.48053,0.54194,0.29972,1.30848,0.76629,0.98083,9.85768e-05,9.85768e-05,9.85768e-05
9,68.707,1.29433,0.73865,0.9797,0.63611,0.48255,0.54148,0.29949,1.30951,0.76746,0.98106,6.67882e-05,6.67882e-05,6.67882e-05
10,75.5943,1.29194,0.74588,0.98887,0.63702,0.48391,0.54127,0.29924,1.30849,0.7673,0.98062,3.49996e-05,3.49996e-05,3.49996e-05
