trial,mAP@0.5,state,duration_seconds,imgsz,optimizer,lr0,momentum,weight_decay,warmup_epochs,warmup_momentum,warmup_bias_lr,mosaic,mixup
16,0.5523124078127452,COMPLETE,86.637294,768,SGD,0.0014266301191773261,0.9694581216785425,0.0005408962177381937,3,0.895636626196151,0.06052637637356499,0.879214287562742,0.06839573122710534
48,0.5515195357308822,COMPLETE,88.340633,768,SGD,0.0030108714690406154,0.9355338523213478,5.7082509272671485e-05,2,0.7949180512220826,0.05533640948137008,0.8477257367869651,0.09790574762230997
21,0.5513956214275897,COMPLETE,86.813732,768,SGD,0.001614581866934814,0.9605221276293522,0.0004782343662535138,2,0.931693270428679,0.07837083112560542,0.9148455465976462,0.08448058220188287
45,0.5513051269196347,COMPLETE,91.20832,768,SGD,0.0022964095098238022,0.9484731054895351,6.762479011975347e-05,2,0.7581814547906824,0.06111191728965159,0.7712222579850774,0.028200191582070443
36,0.5510819803987319,COMPLETE,90.795105,768,SGD,0.002513769064137078,0.965285528756196,0.00044820079347453797,3,0.8200534881358864,0.08054342536965375,0.7167535165176196,0.09611377761905936
41,0.5510210345786372,COMPLETE,89.856381,768,SGD,0.0025688158465346196,0.9657721945876782,0.0003459319817016071,3,0.7851713200678588,0.0781222641589564,0.79913677432224,0.04454620383601893
43,0.5509988518672129,COMPLETE,92.109451,768,SGD,0.00240468131213809,0.9611322047415322,5.233692727923508e-05,3,0.7245720707702696,0.08075049500401876,0.6479255701471229,0.03520920935337229
13,0.5509496000491625,COMPLETE,89.968733,768,SGD,0.0003210971776214289,0.9394738965994355,0.0007193704932897428,3,0.8759902054909975,0.06325166481166189,0.9599505702973337,0.061381502450798424
17,0.550632841784447,COMPLETE,90.432951,768,SGD,0.00159152704616347,0.9624087028389618,0.00037476809765594246,3,0.8396810944967362,0.06812719414230545,0.9216595553968547,0.06451181608318496
12,0.549873191416895,COMPLETE,89.270274,768,SGD,0.00012529820223700834,0.9562786100488956,0.00038828555095284285,2,0.8639236520085273,0.04826005313047981,0.8944139703651505,0.09974640585253298
11,0.5498105347141959,COMPLETE,88.331021,768,SGD,0.00024410349601541745,0.8930747248244582,0.0005570726749132452,2,0.9101104814047073,0.03483007779793158,0.9244608125169232,0.1387199550476394
2,0.5496297075492725,COMPLETE,92.33114,768,AdamW,0.00019485671251272575,0.8578061911582335,0.000790261954970823,3,0.8637788066524075,0.03046137691733707,0.5488360570031919,0.1368466053024314
22,0.5494450785405307,COMPLETE,91.986925,768,SGD,0.0031714909629523115,0.9559040261756974,0.00025442259257066617,1,0.9352212352301312,0.07370233444743512,0.8998145682788873,0.10861161697146811
18,0.5493735196127256,COMPLETE,89.954734,768,SGD,0.00021784066901447158,0.894768675713657,0.00042959639049995336,3,0.7220683276477491,0.09571097693629732,0.978325500452809,0.09584266937755559
15,0.5493270292808767,COMPLETE,91.388447,768,SGD,0.00012814337599323492,0.9683223368194535,0.0001993208959963419,3,0.7431002321688551,0.041761473784948294,0.999790179683723,0.022249693811966856
27,0.5491152610248243,COMPLETE,90.558395,768,SGD,0.00024219163277840053,0.9468146687526185,0.0009911287712786904,3,0.931563649665869,0.08400543737690738,0.8627082684382505,0.04208205069943187
32,0.5490064699617585,COMPLETE,88.148992,768,SGD,0.0018820903064328083,0.9661371273532517,0.0008148999082197702,2,0.7820010900112135,0.0488880475978486,0.9209826482074976,0.07721115206698227
46,0.5489345306908555,COMPLETE,87.879531,768,SGD,0.0032960106169408403,0.9517208974745655,0.0001241624535663803,1,0.6659592939138015,0.025834898702421068,0.6947603302623384,0.057400738043794176
38,0.548897564169692,COMPLETE,90.670963,768,SGD,0.002209120220892346,0.953656263474475,0.00027343487681473694,3,0.8635404493873546,0.04708547933810078,0.571679563391267,0.1335317415171103
40,0.5485284723762701,COMPLETE,88.114442,768,SGD,0.004238363299228038,0.937785582217779,0.0006435238874789571,3,0.9118704091509159,0.08063783314575161,0.6573636260837369,0.06937512010427188
14,0.5474558931042417,COMPLETE,88.57597,768,SGD,0.00020513541454570333,0.9536643685937104,0.00047218595675765283,0,0.8456889994190175,0.057788756708563926,0.8434594821218439,0.07951769913819613
0,0.5472603824253411,COMPLETE,91.285269,768,SGD,0.00018408992080552527,0.856970033460184,0.0005399484409787432,2,0.8186326600082204,0.0020584494295802446,0.9849549260809971,0.16648852816008436
25,0.5470571618406048,COMPLETE,88.918231,768,SGD,0.0009733005404225808,0.9464608421103848,0.0005127372476074651,2,0.9064560435830135,0.03410677420328585,0.7651818852312828,0.05337689405774641
33,0.5464430586153877,COMPLETE,89.505995,768,SGD,0.0014901652579887557,0.9458602088937411,0.0003359234987122446,3,0.8915346236840065,0.0845799854027304,0.9272908291245819,0.031021877591887466
37,0.5458611789576657,COMPLETE,87.415174,768,SGD,0.002026738756039727,0.9610097746701791,0.0004388136654131202,2,0.7387001480187433,0.09084495144612491,0.6219258031285982,0.08121935706991841
35,0.5449649682606236,COMPLETE,89.692146,768,SGD,0.0019390554976965932,0.9681501671201503,0.0008354607262139411,3,0.8967477252448028,0.05355036993962625,0.9433515421595815,0.08447022631842607
31,0.5447651072056401,COMPLETE,92.861839,768,SGD,0.0007402121005840043,0.9676314366175349,0.00027526527855400973,3,0.919526285677777,0.07639577582570085,0.9601204217024863,0.1334378546374634
6,0.5417457601341787,COMPLETE,74.865552,640,SGD,0.00012822825454807568,0.8873178786058794,4.4706085467784903e-05,2,0.7869008621098459,0.08872127425763265,0.7361074625809747,0.02391884918766034
19,0.5413705172815562,COMPLETE,71.490508,640,SGD,0.0004061046457250603,0.9321793030236255,0.0006525031182539629,3,0.8906530043711244,0.04856202154046517,0.9534805140484282,0.05545432339359017
28,0.5404640674446652,COMPLETE,71.037308,640,SGD,0.001627932385270764,0.9333231864710887,0.0002714821041988686,3,0.9443012044088522,0.09660334277444536,0.7964179936311253,0.1135279343765279
42,0.5392208389212123,COMPLETE,71.008771,640,SGD,0.002337381510721718,0.9450100644921955,0.00019266340472842637,3,0.7303835887961108,0.09966707178167371,0.8043709800284085,0.040321222631828094
20,0.5384993032441202,COMPLETE,72.793393,640,SGD,0.0024212370294819457,0.9574695168766558,0.0006984056680143364,3,0.8664829662356952,0.008684766238164138,0.7814635097735192,0.10989750445614965
9,0.5378581398644396,COMPLETE,91.97021,768,AdamW,0.00034695916603302916,0.8632062309433212,2.8567374298471872e-05,1,0.8681066446651219,0.08607305832563435,0.5034760652655954,0.10214946051551316
10,0.5362387450004505,COMPLETE,73.255842,640,AdamW,0.00012019462074072741,0.8751994424704447,0.0008564246077898465,3,0.8300113009765738,0.01867742913680949,0.5719899949745945,0.14260259077459436
3,0.5359757978026949,COMPLETE,70.946544,640,AdamW,0.00027520696850790545,0.9295026741224778,4.201672054372529e-05,2,0.7460196257044758,0.018485445552552705,0.9847923138822793,0.15502656467222292
23,0.5327752454011696,COMPLETE,91.988978,768,Adam,0.0006116831514818585,0.9696769363613468,0.0002289364558194648,2,0.8551714978710967,0.04481983402805398,0.8766924169757053,0.07669470872978726
8,0.5305928119075056,COMPLETE,72.144634,640,Adam,0.00013514082247401428,0.8847701743496521,2.101079931010355e-05,3,0.8636541708039875,0.06334037565104235,0.9357302950938589,0.16073441537982291
4,0.5256903754988943,COMPLETE,71.424555,640,Adam,0.000215262809722153,0.8554272746692645,4.473636174621264e-05,1,0.6221070642982531,0.08287375091519295,0.6783766633467947,0.05618690193747616
44,0.5253172698323794,COMPLETE,89.086238,768,AdamW,0.0006783170680312678,0.9546451043730714,1.9359207197365895e-05,2,0.7755970810010677,0.07397029920030611,0.6304719814563143,0.06772327784620738
7,0.5169741010042161,COMPLETE,92.41616,768,Adam,0.0007728716861851782,0.9013049222030259,1.1241862095793047e-05,0,0.5141431335590304,0.06364104112637804,0.6571779905381634,0.10171413823294057
1,0.5150614696029788,COMPLETE,72.42655,640,AdamW,0.0005418282319533242,0.8849474968237651,0.00016738085788752134,0,0.6314650918408482,0.03663618432936917,0.728034992108518,0.15703519227860274
39,0.5127980588812139,COMPLETE,93.358105,768,Adam,0.0010843452213023064,0.9541108058460681,0.0007592175201998521,3,0.8228066382494131,0.07043698388493358,0.6745595317825923,0.1203031083254431
26,0.5068193707821373,COMPLETE,89.497651,768,AdamW,0.000968080484955678,0.9527843910124534,0.00044429064625774476,2,0.9323787406309254,0.09640289105379306,0.9049753439578146,0.07340674862711377
